39548626	"Litterer	1928	2	2	1"
96898156	"Ionel	1988	24	21	6"
205738433	"23387	2002	8	8	7"
111045669	"martiri	1919	5	5	3"
53744868	"organizar	1900	1	1	1"
72707921	"Sclavonian	1861	44	40	23"
155794904	"Kohiyama	1999	7	6	5"
18404746	"cenaries	2001	3	3	3"
170835953	"periphera1	1991	1	1	1"
253427487	"electer	1928	1	1	1"
247918781	"Singelenberg	1992	2	2	1"
230878585	"sheepdip	1936	1	1	1"
175704233	"108855	1911	1	1	1"
52684434	"menologies	1951	1	1	1"
254511092	"geap	1896	1	1	1"
264567171	"3rded	1897	1	1	1"
82593795	"noncontrast	2001	215	196	63"
246557481	"Qii	1963	8	5	5"
149714711	"Aristotile	1944	6	5	3"
97551642	"Koivuniemi	1989	3	2	2"
237814179	"Bellifortis	1961	2	2	1"
265815966	"Abst	1856	3	3	3"
92121761	"Berthold's	1909	9	9	7"
14194092	"SchooI	1881	1	1	1"
273274132	"Maeztu	1933	12	10	5"
39041408	"Konjunktionen	2006	2	2	2"
21457189	"halben	1837	1	1	1"
286356256	"ndds	1986	1	1	1"
273543045	"Mcrce	2004	2	2	2"
273358759	"Manjr	1851	1	1	1"
5780736	"Connsell	1856	1	1	1"
172351333	"scart	1912	57	54	23"
164686082	"compon	1876	3	3	3"
211864880	"Ftock	1968	1	1	1"
285720145	"magnetiseur	1954	2	2	2"
113268958	"putback	1910	1	1	1"
1290799	"1nformed	1962	3	3	3"
232650095	"upperright	1963	6	6	6"
107390779	"doleance	1984	11	11	10"
170612698	"palatinorum	1935	2	2	2"
27950627	"tooi	1889	5	5	5"
65310538	"Eduth	1916	7	6	5"
23449235	"mdeed	1991	7	7	7"
77673319	"cxtremest	1855	7	7	7"
33023284	"Armedia	1939	2	2	2"
144712791	"trajection	1978	6	6	6"
8725487	"Hornick	1928	5	4	3"
216421634	"PARAMOUNT	1879	1	1	1"
131619116	"Strathfield	1934	2	2	2"
183490513	"Halicamassus	1886	3	3	2"
238019636	"Bnrbank	1893	1	1	1"
208846110	"Bollaert	1975	4	4	2"
134396751	"ausint	1890	1	1	1"
137039453	"erplex	1949	1	1	1"
10943210	"MateriaIs	2006	14	13	8"
250703350	"anko	1980	4	4	3"
159658077	"Résurrection	1965	2	2	2"
15937432	"VOLKES	1890	4	3	3"
1830171	"32.624	1982	2	2	2"
1800892	"310.000	1976	7	7	7"
40302427	"Mesosternum	1876	33	31	1"
21688783	"hoil	1855	8	8	8"
277689561	"Tatii	1898	1	1	1"
100535351	"Porphyrogene	1896	5	5	5"
152482640	"Doylestown	1886	69	55	29"
57845145	"verning	1853	1	1	1"
